"Muni,County",District,Wards,Senate,Senate_party,Senate_main_office,Senate_phone,Senate_email,Assembly_1,Assembly_party_1,Assembly_office_1,Assembly_phone_1,Assembly_email_1,Assembly_2,Assembly_party_2,Assembly_office_2,Assembly_phone_2,Assembly_email_2
Aberdeen,District 13,No,"JOSEPH M. KYRILLOS, JR.",R,"10 Hwy. 35, 2nd Floor, Red Bank, NJ 07701",732-671-3206,SenKyrillos@njleg.org,AMY H. HANDLIN,R,"225 Route 35, Suite 202, Red Bank, NJ 07701",732-383-7820,AsmHandlin@njleg.org,DECLAN O'SCANLON,R,"32 Monmouth St., 3rd Floor, Red Bank, NJ 07701",732-933-1591,AsmOScanlon@njleg.org
Absecon,District 2,No,JIM WHELAN,D,"511 Tilton Road, Northfield, NJ 08225",609-383-1388,SenWhelan@njleg.org,CHRIS A. BROWN,R,"2021 New Rd., Suite 24, Linwood, NJ 08221",609-677-8266,AsmBrown@njleg.org,VINCENT MAZZEO,D,"507 Tilton Rd., Northfield, NJ 08225",609-383-1388,AsmMazzeo@njleg.org
Alexandria,District 23,No,MICHAEL J. DOHERTY,R,"127 Belvidere Ave., 2nd Floor, Washington, NJ 07882",908-835-0552,SenDoherty@njleg.org,ERIK PETERSON,R,"178 Center Street, Suite 2B, Clinton NJ 08809",908-238-0251,AsmPeterson@njleg.org,JOHN DIMAIO,R,"245 Route 22, Suite 208, Bridgewater, NJ 08807",908-722-1365,AsmDimaio@njleg.org
Allamuchy,District 24,No,STEVEN V. OROHO,R,"One Wilson Drive, Suite 2B, Sparta, NJ 07871",973-300-0200,SenOroho@njleg.org,PARKER SPACE,R,"One Wilson Drive, Suite 2B, Sparta, NJ 07871",973-300-0200,AsmSpace@njleg.org,GAIL PHOEBUS,R,"One Wilson Drive, Suite 2B, Sparta, NJ 07871",973-300-0200,AsmPhoebus@njleg.org
Allendale,District 40,No,KEVIN J. O'TOOLE,R,"155 Route 46 West, Suite 108, Wayne, NJ 07470",973-237-1360,SenOToole@njleg.org,SCOTT T. RUMANA,R,"155 Route 46 West, 1st Floor, Wayne, NJ 07470",973-237-1362,AsmRumana@njleg.org,DAVID C. RUSSO,R,"22 Paterson Ave., Midland Park, NJ 07432",201-444-9719,AsmRusso@njleg.org
Allenhurst,District 11,No,JENNIFER BECK,R,"32 Monmouth St., 3rd Floor, Red Bank, NJ 07701",732-933-1591,SenBeck@njleg.org,JOANN DOWNEY,D,"802 West Park Avenue, Suite 221, Ocean Twp., NJ 07712",732-695-3371,AsmDowney@njleg.org,ERIC HOUGHTALING,D,"802 West Park Avenue, Suite 221, Ocean Twp., NJ 07712",732-695-3371,AsmHoughtaling@njleg.org
Allentown,District 12,No,SAMUEL D. THOMPSON,R,"2501 Highway 516, Suite 101, Old Bridge, NJ 08857",732-607-7580,SenThompson@njleg.org,RONALD S. DANCER,R,"2110 W. County Line Rd., Jackson, NJ 08527",732-901-0702,AsmDancer@njleg.org,ROBERT D. CLIFTON,R,"516 Route 33 West, Bldg. 2, Suite 2, Millstone, NJ 08535",732-446-3408,AsmClifton@njleg.org
Alloway,District 3,No,STEPHEN M. SWEENEY,D,"935 Kings Highway, Suite 400, West Deptford, NJ 08086",856-251-9801,SenSweeney@njleg.org,JOHN J. BURZICHELLI,D,"935 Kings Highway, Suite 400, West Deptford, NJ 08086",856-251-9801,AsmBurzichelli@njleg.org,ADAM J. TALIAFERRO,D,"199 East Broadway, 1st Floor, Suite G, Salem, NJ 08079",856-339-0808,AsmTaliaferro@njleg.org
Alpha,District 23,No,MICHAEL J. DOHERTY,R,"127 Belvidere Ave., 2nd Floor, Washington, NJ 07882",908-835-0552,SenDoherty@njleg.org,ERIK PETERSON,R,"178 Center Street, Suite 2B, Clinton NJ 08809",908-238-0251,AsmPeterson@njleg.org,JOHN DIMAIO,R,"245 Route 22, Suite 208, Bridgewater, NJ 08807",908-722-1365,AsmDimaio@njleg.org
Alpine,District 37,No,LORETTA WEINBERG,D,"545 Cedar Lane, Teaneck, NJ 07666",201-928-0100,SenWeinberg@njleg.org,GORDON M. JOHNSON,D,"545 Cedar Lane, Teaneck, NJ 07666",201-836-4924,AsmJohnson@njleg.org,VALERIE VAINIERI HUTTLE,D,"1 Eagle Street, Englewood, NJ 07631",201-541-1118,AsmHuttle@njleg.org
